Unnamed: 0,cueEjemplo,targetEjemplo,cue,response,count,rank,p,porcentaje
4,Argentina,Buenos_Aires,Brasil,Brasilia,1,1.0,0.90625,100.0
13,Brasil,samba,Cuba,salsa,1,1.0,0.6,100.0
31,Francia,París,Estados_Unidos,Washington,1,1.0,0.901960784313726,50.0
51,París,Francia,Roma,Italia,1,1.0,0.939024390243902,100.0
18,China,Asia,Rusia,Eurasia,1,1.0,0.372549019607843,100.0
9,bailarín,bailar,albañil,construir,1,1.0,0.683168316831683,100.0
61,pistola,bala,arco,flecha,1,1.0,0.953703703703704,100.0
58,picnic,parque,asado,parrillero,1,1.0,0.323232323232323,100.0
60,pirámide,momia,ataúd,cadáver,1,1.0,0.352941176470588,100.0
77,tren,vías,auto,carretera,1,1.0,0.36,100.0
55,perro,ladrar,ave,piar,1,1.0,0.349056603773585,33.33333333333333
66,rojo,ira,azul,tristeza,1,1.0,0.291666666666667,100.0
16,campera,buzo,buzo,remera,1,1.0,0.358695652173913,100.0
63,puerta,pestillo,caja,tapa,1,1.0,0.371794871794872,100.0
34,fruta,manzana,carne,vaca,1,1.0,0.162790697674419,50.0
26,desayuno,cocina,cena,cocina,1,1.0,0.410526315789474,100.0
79,vodka,Rusia,cerveza,Alemania,1,1.0,0.85981308411215,100.0
30,estufa,gas,chimenea,leña,1,1.0,0.754901960784314,100.0
21,cordón,zapato,cinturón,pantalón,1,1.0,0.83695652173913,100.0
53,peluquera,tijera,cocinero,cuchillo,1,1.0,0.326923076923077,100.0
11,bebida,leche,comida,pan,1,1.0,0.380952380952381,100.0
17,cerebro,pensamiento,corazón,sentimiento,1,1.0,0.564705882352941,100.0
5,ave,ala,delfín,aleta,1,1.0,0.858695652173913,100.0
69,selva,león,desierto,camello,1,1.0,0.65625,100.0
1,abogado,corte,doctor,hospital,1,1.0,0.651685393258427,100.0
23,cuadro,pintor,estatua,escultor,1,1.0,0.948979591836735,100.0
35,fútbol,estadio,estudio,escuela,1,1.0,0.2,100.0
3,árbol,hojas,flor,pétalos,1,1.0,0.644230769230769,100.0
47,mujer,niño,gallina,pollito,1,1.0,0.56,100.0
54,perro,gato,gato,perro,1,1.0,0.5,100.0
49,paraguas,lluvia,gorro,frío,1,1.0,0.423423423423423,50.0
52,paz,paloma,guerra,arma,1,1.0,0.2,100.0
24,cubierto,tenedor,herramienta,martillo,1,1.0,0.602150537634409,100.0
45,memoria,pasado,imaginación,futuro,1,1.0,0.783018867924528,100.0
6,ave,paloma,insecto,mosca,1,1.0,0.284090909090909,100.0
2,amigos,felicidad,jefe,trabajo,1,1.0,0.159574468085106,100.0
22,cristianismo,iglesia,judaísmo,sinagoga,1,1.0,0.760416666666667,100.0
62,plato,mesa,libro,biblioteca,1,1.0,0.444444444444444,100.0
19,cirujano,bisturí,locutor,micrófono,1,1.0,0.956989247311828,100.0
29,esmalte,uñas,lápiz_labial,labios,1,1.0,0.846938775510204,100.0
7,ave,pingüino,mamífero,ballena,1,1.0,0.198019801980198,100.0
59,pie,zapato,mano,guante,1,1.0,0.907216494845361,100.0
68,sábana,cama,mantel,mesa,1,1.0,0.99,100.0
80,volante,auto,manubrio,bicicleta,1,1.0,0.78125,100.0
27,destornillador,tornillo,martillo,clavo,1,1.0,0.98876404494382,100.0
42,libro,papel,mesa,madera,1,1.0,0.77319587628866,100.0
71,tela,algodón,metal,hierro,1,1.0,0.340659340659341,100.0
15,caballo,jinete,moto,motociclista,1,1.0,0.530120481927711,100.0
67,ropa,pantalones,mueble,mesa,1,1.0,0.302083333333333,100.0
74,tigre,rayas,mulita,caparazón,1,1.0,0.67379679144385,100.0
20,ciudad,Montevideo,país,Uruguay,1,1.0,0.88,100.0
38,gato,felino,perro,canino,1,1.0,0.65979381443299,100.0
73,tiburón,pez,pez,tiburón,1,1.0,0.2,100.0
70,sushi,Japón,pizza,Italia,1,1.0,0.98019801980198,100.0
37,garage,auto,puerto,barco,1,1.0,0.939393939393939,100.0
46,mermelada,fruta,queso,leche,1,1.0,0.888888888888889,100.0
40,juicio,juzgado,recital,estadio,1,1.0,0.210526315789474,100.0
10,bebé,cigüeña,regalo,Papá_Noel,1,1.0,0.359550561797753,100.0
64,red,pesca,rifle,caza,1,1.0,0.762376237623762,100.0
12,blanco,negro,rojo,azul,1,1.0,0.536082474226804,100.0
41,lento,tortuga,rápido,liebre,1,1.0,0.58252427184466,100.0
32,frío,caliente,seco,mojado,1,1.0,0.561224489795918,100.0
44,martillo,clavo,sierra,madera,1,1.0,0.638297872340426,100.0
43,lluvia,tristeza,sol,alegría,1,1.0,0.651376146788991,100.0
39,hamburguesa,Estados_Unidos,tallarines,Italia,1,1.0,0.917525773195876,100.0
65,rock,guitarra,tango,bandoneón,1,1.0,0.770642201834862,100.0
25,cuerda,guitarra,tecla,piano,1,1.0,0.923076923076923,100.0
8,avión,piloto,tren,maquinista,1,1.0,0.404761904761905,100.0
75,tornillo,destornillador,tuerca,llave,1,1.0,0.656565656565657,100.0
28,escuela,niño,universidad,joven,1,1.0,0.433333333333333,100.0
36,gallina,ave,vaca,mamífero,1,1.0,0.725274725274725,50.0
14,caballero,espada,vaquero,pistola,1,1.0,0.326530612244898,100.0
33,fruta,árbol,verdura,planta,1,1.0,0.40952380952381,100.0
72,tereré,Paraguay,vino,Francia,1,1.0,0.282828282828283,100.0
